ref;speed;CSpeed;State0
581;1;2;1
582;1;2;1
583;0;2;1
584;1;2;1
585;2;2;1
586;1;2;1
587;1;2;1
588;1;2;1
589;2;2;1
590;2;2;1
591;2;2;1
592;1;2;1
593;2;2;1
594;2;2;1
595;2;2;1
596;1;2;1
597;1;2;1
598;1;2;1
599;1;2;1
600;2;2;1
601;2;2;1
602;1;2;1
603;1;2;1
604;1;2;1
605;1;2;1
606;1;2;1
607;1;2;1
608;2;2;1
609;2;2;1
610;2;2;1
611;1;2;1
612;2;2;1
613;2;2;1
614;2;2;1
615;2;2;1
616;2;2;1
617;3;3;1
618;2;2;1
619;2;2;1
620;2;2;1
621;1;2;1
622;1;2;1
623;1;2;1
624;2;2;1
625;1;2;1
626;1;2;1
627;1;2;1
628;2;2;1
629;2;2;1
630;2;2;1
631;4;4;1
632;4;4;1
633;5;5;1
634;5;5;1
635;4;4;1
636;5;5;1
637;5;5;1
638;4;4;1
639;5;5;1
640;4;4;1
641;4;4;1
642;3;3;1
643;3;3;1
644;4;4;1
645;3;3;1
646;2;2;1
647;2;2;1
648;2;2;1
649;1;2;1
650;1;2;1
651;1;2;1
652;1;2;1
653;1;2;1
654;1;2;1
655;2;2;1
656;2;2;1
657;1;2;1
658;2;2;1
659;1;2;1
660;0;2;1
661;0;2;1
662;0;2;1
663;0;2;1
664;0;2;1
665;0;2;1
666;0;2;1
667;0;2;1
668;0;2;1
669;0;2;1
670;0;2;1
671;0;2;1
672;0;2;1
673;1;2;1
674;0;2;1
675;1;2;1
676;0;2;1
677;0;2;1
678;0;2;1
679;0;2;1
680;1;2;1
681;1;2;1
682;1;2;1
683;1;2;1
684;3;3;1
685;2;2;1
686;2;2;1
687;2;2;1
688;2;2;1
689;1;2;1
690;1;2;1
691;2;2;1
692;1;2;1
693;1;2;1
694;1;2;1
695;1;2;1
696;1;2;1
697;1;2;1
698;2;2;1
699;2;2;1
700;2;2;1
701;1;2;1
702;1;2;1
703;1;2;1
704;1;2;1
705;0;2;1
706;0;2;1
707;2;2;1
708;1;2;1
709;0;2;1
710;1;2;1
711;1;2;1
712;1;2;1
713;1;2;1
714;1;2;1
715;1;2;1
716;3;3;1
717;1;2;1
718;1;2;1
719;1;2;1
720;2;2;1
721;2;2;1
722;2;2;1
723;1;2;1
724;1;2;1
725;1;2;1
726;0;2;1
727;1;2;1
728;1;2;1
729;2;2;1
730;2;2;1
731;3;3;1
732;3;3;1
733;4;4;1
734;3;3;1
735;3;3;1
736;2;2;1
737;2;2;1
738;2;2;1
739;2;2;1
740;1;2;1
741;1;2;1
742;1;2;1
743;1;2;1
744;1;2;1
745;2;2;1
746;3;3;1
747;3;3;1
748;3;3;1
749;2;2;1
750;2;2;1
751;1;2;1
752;1;2;1
753;1;2;1
754;1;2;1
755;2;2;1
756;2;2;1
757;1;2;1
758;1;2;1
759;2;2;1
760;2;2;1
761;2;2;1
762;2;2;1
763;2;2;1
764;3;3;1
765;2;2;1
766;2;2;1
767;2;2;1
768;2;2;1
769;2;2;1
770;2;2;1
771;1;2;1
772;2;2;1
773;2;2;1
774;1;2;1
775;2;2;1
776;0;2;1
777;1;2;1
778;1;2;1
779;1;2;1
780;1;2;1
781;1;2;1
782;1;2;1
783;1;2;1
784;0;2;1
785;0;2;1
786;1;2;1
787;0;2;1
788;0;2;1
789;1;2;1
790;1;2;1
791;1;2;1
792;1;2;1
793;1;2;1
794;1;2;1
795;1;2;1
796;0;2;1
797;1;2;1
798;1;2;1
799;1;2;1
800;0;2;1
801;0;2;1
802;1;2;1
803;1;2;1
804;0;2;1
805;1;2;1
806;1;2;1
807;0;2;1
808;1;2;1
809;1;2;1
810;0;2;1
811;0;2;1
812;1;2;1
813;0;2;1
814;0;2;1
815;1;2;1
816;2;2;1
817;0;2;1
818;1;2;1
819;1;2;1
820;0;2;1
821;2;2;1
822;1;2;1
823;1;2;1
824;0;2;1
825;0;2;1
826;0;2;1
827;0;2;1
828;1;2;1
829;1;2;1
830;1;2;1
831;2;2;1
832;2;2;1
833;2;2;1
834;3;3;1
835;3;3;1
836;3;3;1
837;3;3;1
838;3;3;1
839;3;3;1
840;4;4;1
841;4;4;1
842;4;4;1
843;3;3;1
844;4;4;1
845;4;4;1
846;4;4;1
847;3;3;1
848;4;4;1
849;4;4;1
850;4;4;1
851;4;4;1
852;4;4;1
853;4;4;1
854;4;4;1
855;5;5;1
856;5;5;1
857;6;6;1
858;6;6;1
859;7;7;1
860;7;7;1
861;8;8;1
862;8;8;1
863;9;9;1
864;9;9;1
865;10;10;2
866;10;10;2
867;10;10;2
868;10;10;2
869;11;11;2
870;10;10;2
871;10;10;2
872;10;10;2
873;11;11;2
874;10;10;2
875;10;10;2
876;10;10;2
877;10;10;2
878;10;10;2
879;9;9;1
880;8;8;1
881;7;7;1
882;7;7;1
883;8;8;1
884;8;8;1
885;7;7;1
886;7;7;1
887;6;6;1
888;5;5;1
889;5;5;1
890;4;4;1
891;3;3;1
892;3;3;1
893;3;3;1
894;2;2;1
895;2;2;1
896;0;2;1
897;0;2;1
898;0;2;1
899;0;2;1
900;0;2;1
901;0;2;1
902;0;2;1
903;0;2;1
904;2;2;1
905;2;2;1
906;2;2;1
907;5;5;1
908;8;8;1
909;8;8;1
910;7;7;1
911;2;2;1
912;0;2;1
913;0;2;1
914;3;3;1
915;5;5;1
916;6;6;1
917;8;8;1
918;5;5;1
919;3;3;1
920;1;2;1
921;0;2;1
922;1;2;1
923;4;4;1
924;5;5;1
925;6;6;1
926;7;7;1
927;9;9;1
928;7;7;1
929;4;4;1
930;5;5;1
931;4;4;1
932;2;2;1
933;1;2;1
934;1;2;1
935;1;2;1
936;2;2;1
937;2;2;1
938;1;2;1
939;5;5;1
940;9;9;1
941;9;9;1
942;6;6;1
943;3;3;1
944;2;2;1
945;2;2;1
946;2;2;1
947;3;3;1
948;3;3;1
949;4;4;1
950;3;3;1
951;4;4;1
952;3;3;1
953;3;3;1
954;4;4;1
955;4;4;1
956;4;4;1
957;4;4;1
958;4;4;1
959;5;5;1
960;5;5;1
961;4;4;1
962;0;2;1
963;0;2;1
964;2;2;1
965;2;2;1
966;2;2;1
967;2;2;1
968;2;2;1
969;2;2;1
970;2;2;1
971;2;2;1
972;2;2;1
973;3;3;1
974;3;3;1
975;3;3;1
976;1;2;1
977;1;2;1
978;1;2;1
979;1;2;1
980;1;2;1
981;1;2;1
982;1;2;1
983;4;4;1
984;5;5;1
985;5;5;1
986;4;4;1
987;4;4;1
988;4;4;1
989;4;4;1
990;4;4;1
991;4;4;1
992;5;5;1
993;5;5;1
994;4;4;1
995;4;4;1
996;4;4;1
997;3;3;1
998;4;4;1
999;4;4;1
1000;3;3;1
1001;2;2;1
1002;1;2;1
1003;0;2;1
1004;0;2;1
1005;0;2;1
1006;0;2;1
1007;0;2;1
1008;0;2;1
1009;1;2;1
1010;4;4;1
1011;4;4;1
1012;4;4;1
1013;5;5;1
1014;5;5;1
1015;5;5;1
1016;4;4;1
1017;5;5;1
1018;4;4;1
1019;5;5;1
1020;6;6;1
1021;6;6;1
1022;5;5;1
1023;4;4;1
1024;3;3;1
1025;3;3;1
1026;4;4;1
1027;4;4;1
1028;4;4;1
1029;4;4;1
1030;3;3;1
1031;4;4;1
1032;4;4;1
1033;6;6;1
1034;6;6;1
1035;5;5;1
1036;3;3;1
1037;0;2;1
1038;0;2;1
1039;2;2;1
1040;2;2;1
1041;2;2;1
1042;2;2;1
1043;2;2;1
1044;3;3;1
1045;3;3;1
1046;3;3;1
1047;2;2;1
1048;3;3;1
1049;4;4;1
1050;4;4;1
1051;4;4;1
1052;4;4;1
1053;4;4;1
1054;5;5;1
1055;4;4;1
1056;4;4;1
1057;5;5;1
1058;6;6;1
1059;7;7;1
1060;7;7;1
1061;7;7;1
1062;7;7;1
1063;7;7;1
1064;6;6;1
1065;4;4;1
1066;7;7;1
1067;8;8;1
1068;9;9;1
1069;8;8;1
1070;8;8;1
1071;7;7;1
1072;9;9;1
1073;8;8;1
1074;8;8;1
1075;7;7;1
1076;7;7;1
1077;7;7;1
1078;8;8;1
1079;7;7;1
1080;7;7;1
1081;7;7;1
1082;7;7;1
1083;7;7;1
1084;6;6;1
1085;6;6;1
1086;6;6;1
1087;6;6;1
1088;6;6;1
1089;6;6;1
1090;4;4;1
1091;5;5;1
1092;5;5;1
1093;5;5;1
1094;6;6;1
1095;5;5;1
1096;6;6;1
1097;6;6;1
1098;6;6;1
1099;5;5;1
1100;5;5;1
1101;5;5;1
1102;5;5;1
1103;5;5;1
1104;5;5;1
1105;4;4;1
1106;8;8;1
1107;5;5;1
1108;4;4;1
1109;3;3;1
1110;2;2;1
1111;3;3;1
1112;3;3;1
1113;4;4;1
1114;3;3;1
1115;4;4;1
1116;4;4;1
1117;4;4;1
1118;4;4;1
1119;3;3;1
1120;4;4;1
1121;5;5;1
1122;5;5;1
1123;6;6;1
1124;8;8;1
1125;9;9;1
1126;11;11;2
1127;11;11;2
1128;11;11;2
1129;10;10;2
1130;11;11;2
1131;10;10;2
1132;10;10;2
1133;10;10;2
1134;10;10;2
1135;10;10;2
1136;10;10;2
1137;9;10;2
1138;9;10;2
1139;9;10;2
1140;9;10;2
1141;8;10;2
1142;8;10;2
1143;9;10;2
1144;8;10;2
1145;7;10;2
