State;Duration;AvgSpeed;State_target
2;3;10.67;1
1;13;2.54;1
2;2;10.5;1
1;22;8.27;1
2;1;12;1
1;22;3.86;1
0;122;0.02;0
1;30;0.47;0
0;239;0.15;0
1;5;0;0
0;6;0.17;0
1;13;0.77;0
0;60;0.18;0
1;44;0.86;0
0;78;0.09;0
1;62;1.77;1
2;8;10;1
1;27;7.78;1
2;2;10;1
1;1;9;1
2;9;11.56;1
1;35;4.43;1
2;101;21.18;2
1;11;1.73;2
0;245;0;0
1;27;0;0
2;284;21.54;2
1;2;8;2
2;8;19.5;2
1;46;1.72;1
2;109;12.48;1
1;51;5.88;1
2;2;11;1
1;10;6.2;1
2;3;10.67;1
1;1;9;1
2;11;10.73;1
1;3;8.67;1
2;1;10;1
1;17;6.88;1
2;43;10.42;1
1;44;6.05;1
2;6;10.33;1
1;83;4.55;1
2;129;12.97;1
1;18;5;1
2;5;10;1
1;43;5.63;1
2;3;10;1
1;1;9;1
2;4;10;1
1;88;3.89;1
2;3;10;1
1;1;8;1
2;18;12.22;1
1;27;4.78;1
0;395;0.05;0
1;30;0.43;0
2;21;12;1
1;46;4.15;1
2;34;9.59;1
1;37;8;1
2;50;9.76;1
1;3;9;1
2;5;10;1
1;8;7.63;1
2;2;10;1
1;34;5.97;1
2;4;10;1
1;69;4.96;1
2;68;10;1
1;1;9;1
2;5;10.4;1
1;2;8;1
2;15;10.27;1
1;35;4.17;1
2;6;10.33;1
1;59;6.42;1
2;13;10.38;1
1;19;4.32;1
2;19;12.84;1
1;12;2.5;1
0;190;0.06;0
1;4;0.5;0
0;1;0;0
1;74;0.89;2
2;290;35.86;2
1;3;8.33;2
2;1;10;2
1;113;4.53;1
2;5;10;1
1;134;3.51;1
2;34;9.56;1
1;12;8.25;1
2;8;10.38;1
1;26;6.88;1
2;12;11.5;1
1;11;7.09;1
2;2;11;1
1;3;8.33;1
2;3;10;1
1;11;1.82;1
0;543;0;0
1;25;0.04;1
2;20;14.85;1
1;5;3.2;1
2;2;11.5;1
1;1;9;1
2;1;10;1
1;28;3.46;1
0;13;0;1
1;249;3.11;1
0;28;0;1
