Distance;Duration;AvgSpeed;State
0.1;97;2.2061855670103094;1
0.0;46;0.15217391304347827;0
0.30000000000000004;240;3.6166666666666667;1
0.19999999999999996;51;12.549019607843137;2
0.20000000000000007;261;1.5019157088122606;1
0.0;54;0.2777777777777778;0
0.0;46;0.9347826086956522;1
0.0;25;0.16;0
0.0;13;0.5384615384615384;1
0.0;8;0.125;0
0.0;17;0.7058823529411765;1
0.0;34;0.29411764705882354;0
0.0;41;1.8780487804878048;1
0.0;7;12.142857142857142;2
0.09999999999999998;55;3.4909090909090907;1
0.0;1;10.0;2
0.0;3;8.0;1
0.0;2;10.0;2
0.0;3;9.0;1
0.0;1;10.0;2
0.10000000000000009;24;3.2916666666666665;1
0.0;42;0.16666666666666666;0
0.09999999999999987;88;2.340909090909091;1
0.0;88;0.0;0
0.0;38;0.5;1
0.0;4;0.25;0
0.10000000000000009;10;0.3;1
0.0;44;0.29545454545454547;0
0.0;28;0.25;1
2.0999999999999996;213;35.5962441314554;2
0.10000000000000009;35;2.942857142857143;1
0.0;34;0.2647058823529412;0
0.0;39;0.6153846153846154;1
0.0;70;0.11428571428571428;0
0.10000000000000009;61;0.8524590163934426;1
0.0;126;0.06349206349206349;0
0.0;24;0.0;1
2.3000000000000003;199;41.64824120603015;2
0.5;299;4.538461538461538;1
1.0;117;28.974358974358974;2
0.0;14;3.7142857142857144;1
0.0;5;12.8;2
0.0;12;2.25;1
0.0;116;0.07758620689655173;0
0.0;3;1.0;1
0.0;8;0.5;0
0.0;2;0.0;1
0.0;8;0.0;0
0.09999999999999964;17;0.35294117647058826;1
0.10000000000000053;286;0.08741258741258741;0
0.0;31;0.9354838709677419;1
0.0;1;10.0;2
0.0;7;6.857142857142857;1
0.0;9;12.777777777777779;2
0.10000000000000053;99;1.707070707070707;1
1.1999999999999993;128;32.609375;2
0.3000000000000007;209;3.488038277511962;1
0.0;4;10.5;2
0.0;1;9.0;1
0.09999999999999964;10;11.8;2
0.5;359;4.701949860724234;1
0.6999999999999993;96;23.604166666666668;2
0.0;25;2.12;1
0.10000000000000142;39;13.58974358974359;2
0.09999999999999964;13;2.076923076923077;1
0.0;93;0.12903225806451613;0
0.09999999999999964;101;2.108910891089109;1
0.0;5;13.4;2
0.0;11;6.818181818181818;1
0.0;1;10.0;2
0.09999999999999964;17;6.588235294117647;1
0.0;5;10.6;2
0.0;13;2.230769230769231;1
0.0;12;0.3333333333333333;0
0.3000000000000007;314;2.388535031847134;1
0.0;16;0.3125;0
0.09999999999999964;66;0.8181818181818182;1
0.0;16;0.8125;0
0.0;32;1.1875;1
0.40000000000000036;73;17.315068493150687;2
0.0;21;2.5238095238095237;1
0.09999999999999964;30;13.066666666666666;2
0.09999999999999964;45;1.7333333333333334;1
0.0;8;0.5;0
0.0;35;0.9428571428571428;1
0.09999999999999964;17;11.411764705882353;2
1.1000000000000014;631;4.993660855784469;1
0.0;5;12.2;2
0.0;1;8.0;1
0.0;4;10.75;2
0.0;2;8.5;1
0.09999999999999964;15;11.133333333333333;2
0.0;27;7.555555555555555;1
0.0;4;15.0;2
0.6999999999999993;439;5.42369020501139;1
0.0;1;11.0;2
0.0;1;8.0;1
0.0;1;10.0;2
0.29999999999999893;217;5.073732718894009;1
0.0;1;10.0;2
0.09999999999999964;54;5.907407407407407;1
0.0;1;10.0;2
1.0;620;4.262903225806451;1
0.0;1;10.0;2
0.10000000000000142;41;6.853658536585366;1
0.1999999999999993;63;11.65079365079365;2
0.0;18;4.944444444444445;1
0.3000000000000007;67;12.074626865671641;2
0.0;11;8.545454545454545;1
0.0;3;10.0;2
0.09999999999999787;43;8.13953488372093;1
0.0;4;10.0;2
0.10000000000000142;12;8.583333333333334;1
0.0;2;10.0;2
0.5;304;5.651315789473684;1
0.3999999999999986;89;14.438202247191011;2
0.6000000000000014;251;6.290836653386454;1
0.0;3;11.666666666666666;2
0.0;1;6.0;1
0.0;1;10.0;2
0.0;16;5.5625;1
0.0;1;10.0;2
0.0;13;6.384615384615385;1
0.0;1;10.0;2
0.10000000000000142;29;6.586206896551724;1
0.0;8;11.125;2
0.0;1;9.0;1
0.0;1;10.0;2
0.09999999999999787;20;7.4;1
0.0;6;10.0;2
0.0;15;7.133333333333334;1
0.0;1;10.0;2
0.10000000000000142;34;6.294117647058823;1
0.0;10;11.9;2
0.1999999999999993;73;6.178082191780822;1
0.0;1;10.0;2
0.0;1;7.0;1
0.0;1;10.0;2
1.0;637;4.555729984301413;1
0.0;17;0.4117647058823529;0
0.8999999999999986;670;3.491044776119403;1
0.0;61;0.18032786885245902;0
0.0;9;0.2222222222222222;1
0.10000000000000142;220;0.15454545454545454;0
0.10000000000000142;35;0.5714285714285714;1
0.0;2;1.0;0
0.0;13;0.6923076923076923;1
0.0;82;0.12195121951219512;0
0.09999999999999787;184;0.9293478260869565;1
0.3000000000000007;79;0.1518987341772152;0
0.0;48;0.5625;1
0.3000000000000007;830;0.07349397590361446;0
0.0;42;0.7619047619047619;1
0.0;98;0.17346938775510204;0
0.09999999999999787;35;0.6;1
0.0;44;0.22727272727272727;0
0.0;46;0.5869565217391305;1
0.0;10;0.4;0
0.10000000000000142;122;0.8770491803278688;1
0.0;7;13.428571428571429;2
0.10000000000000142;120;2.316666666666667;1
0.09999999999999787;6;12.333333333333334;2
0.0;21;4.666666666666667;1
0.0;14;11.857142857142858;2
0.10000000000000142;8;7.125;1
0.0;4;12.25;2
0.0;24;2.5416666666666665;1
1.3999999999999986;187;26.433155080213904;2
0.0;2;8.0;1
0.0;1;10.0;2
0.0;5;7.2;1
