Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
172;1;1;1;1;1;1;4
173;1;1;1;1;1;1;5
174;1;1;1;1;1;1;5
175;1;1;1;1;1;1;6
176;1;1;1;1;1;1;7
177;1;1;1;1;1;1;7
178;1;1;1;1;1;1;8
179;1;1;1;1;1;1;8
180;1;1;1;1;1;1;7
181;1;1;1;1;1;1;7
182;1;1;1;1;1;1;7
183;1;1;1;1;1;1;7
184;1;1;1;1;1;1;8
185;1;1;1;1;1;1;7
186;1;1;1;1;1;1;7
187;1;1;1;1;1;1;6
188;1;1;1;1;1;1;5
189;1;1;1;1;1;1;4
190;1;1;1;1;1;1;3
191;1;1;1;1;1;1;3
192;1;1;1;1;1;1;3
193;1;1;1;1;1;1;3
194;1;1;1;1;1;1;3
195;1;1;1;1;1;1;1
196;1;1;1;1;1;1;1
197;1;1;1;1;1;1;2
198;1;1;1;1;1;1;2
199;1;1;1;1;1;1;2
200;1;1;1;1;1;1;3
201;1;1;1;1;1;1;2
202;1;1;1;1;1;1;2
203;1;1;1;1;1;1;2
204;1;1;1;1;1;1;3
205;1;1;1;1;1;1;4
206;1;1;1;1;1;1;4
207;1;1;1;1;1;1;4
208;1;1;1;1;1;1;5
209;1;1;1;1;1;1;6
210;1;1;1;1;1;1;6
211;1;1;1;1;1;1;6
212;1;1;1;1;1;1;7
213;1;1;1;1;1;1;6
214;1;1;1;1;1;1;6
215;1;1;1;1;1;1;8
216;1;1;1;1;1;1;7
217;1;1;1;1;1;1;8
218;1;1;1;1;1;1;7
219;1;1;1;1;1;1;8
220;1;1;1;1;1;1;8
221;1;1;1;1;1;1;8
222;1;1;1;1;1;1;6
223;1;1;1;1;1;1;7
224;1;1;1;1;1;1;8
225;1;1;1;1;1;1;8
226;1;1;1;1;1;1;8
227;1;1;1;1;1;1;7
228;1;1;1;1;1;1;7
229;1;1;1;1;1;1;7
230;1;1;1;1;1;1;7
231;1;1;1;1;1;1;7
232;1;1;1;1;1;1;7
233;1;1;1;1;1;1;6
234;1;1;1;1;1;1;6
235;1;1;1;1;1;1;4
236;1;1;1;1;1;1;6
237;1;1;1;1;1;1;6
238;1;1;1;1;1;1;6
239;1;1;1;1;1;1;5
240;1;1;1;1;1;1;6
241;1;1;1;1;1;1;5
242;1;1;1;1;1;1;4
243;1;1;1;1;1;1;2
244;1;1;1;1;1;1;3
245;1;1;1;1;1;1;4
246;1;1;1;1;1;1;3
247;1;1;1;1;1;1;3
248;1;1;1;1;1;1;3
249;1;1;1;1;1;1;3
250;1;1;1;1;1;1;3
251;1;1;1;1;1;1;2
252;1;1;1;1;1;1;3
253;1;1;1;1;1;1;4
254;1;1;1;1;1;1;3
255;1;1;1;1;1;1;2
256;1;1;1;1;1;1;3
257;1;1;1;1;1;1;4
258;1;1;1;1;1;1;4
259;1;1;1;1;1;1;4
260;1;1;1;1;1;1;4
261;1;1;1;1;1;1;3
262;1;1;1;1;1;1;4
263;1;1;1;1;1;1;3
264;1;1;1;1;1;1;3
265;1;1;1;1;1;1;3
266;1;1;1;1;1;1;3
267;1;1;1;1;1;1;3
268;1;1;1;1;1;1;3
269;1;1;1;1;1;1;3
270;1;1;1;1;1;1;3
271;1;1;1;1;1;1;3
272;1;1;1;1;1;1;3
273;1;1;1;1;1;1;3
274;1;1;1;1;1;1;3
275;1;1;1;1;1;1;3
276;1;1;1;1;1;1;3
277;1;1;1;1;1;1;3
278;1;1;1;1;1;1;3
279;1;1;1;1;1;1;3
280;1;1;1;1;1;1;4
281;1;1;1;1;1;1;4
282;1;1;1;1;1;1;3
283;1;1;1;1;1;1;3
284;1;1;1;1;1;1;3
285;1;1;1;1;1;1;2
286;1;1;1;1;1;1;3
287;1;1;1;1;1;1;3
288;1;1;1;1;1;1;3
289;1;1;1;1;1;1;3
290;1;1;1;1;1;1;3
291;1;1;1;1;1;1;3
292;1;1;1;1;1;1;4
293;1;1;1;1;1;1;3
294;1;1;1;1;1;1;3
295;1;1;1;1;1;1;2
296;1;1;1;1;1;1;3
297;1;1;1;1;1;1;3
298;1;1;1;1;1;1;3
299;1;1;1;1;1;1;3
300;1;1;1;1;1;1;3
301;1;1;1;1;1;1;3
302;1;1;1;1;1;1;3
303;1;1;1;1;1;1;3
304;1;1;1;1;1;1;3
305;1;1;1;1;1;1;3
306;1;1;1;1;1;1;3
307;1;1;1;1;1;1;3
308;1;1;1;1;1;1;3
309;1;1;1;1;1;1;3
310;1;1;1;1;1;1;2
311;1;1;1;1;1;1;3
312;1;1;1;1;1;1;2
313;1;1;1;1;1;1;3
314;1;1;1;1;1;1;3
315;1;1;1;1;1;1;4
316;1;1;1;1;1;1;4
317;1;1;1;1;1;1;4
318;1;1;1;1;1;1;4
319;1;1;1;1;1;1;4
320;1;1;1;1;1;1;3
321;1;1;1;1;1;1;4
322;1;1;1;1;1;1;3
323;1;1;1;1;1;1;2
