Distance;Duration;AvgSpeed;State;State_Predict
0.1;97;2.206185567010309;1;1
0.0;46;0.1521739130434782;0;0
0.3;240;3.6166666666666663;1;1
0.1999999999999999;51;12.549019607843135;2;1
0.2;261;1.5019157088122606;1;1
0.0;54;0.2777777777777778;0;1
0.0;46;0.9347826086956522;1;0
0.0;25;0.16;0;1
0.0;13;0.5384615384615384;1;0
0.0;8;0.125;0;0
0.0;17;0.7058823529411765;1;0
0.0;34;0.2941176470588235;0;1
0.0;41;1.8780487804878048;1;1
0.0;7;12.142857142857142;2;1
0.0999999999999999;55;3.4909090909090907;1;1
0.0;1;10.0;2;1
0.0;3;8.0;1;1
0.0;2;10.0;2;1
0.0;3;9.0;1;1
0.0;1;10.0;2;1
0.1;24;3.2916666666666665;1;1
0.0;42;0.1666666666666666;0;1
0.0999999999999998;88;2.340909090909091;1;1
0.0;88;0.0;0;0
0.0;38;0.5;1;0
0.0;4;0.25;0;1
0.1;10;0.3;1;0
0.0;44;0.2954545454545454;0;1
0.0;28;0.25;1;0
2.1;213;35.5962441314554;2;2
0.1;35;2.942857142857143;1;1
0.0;34;0.2647058823529412;0;1
0.0;39;0.6153846153846154;1;0
0.0;70;0.1142857142857142;0;0
0.1;61;0.8524590163934426;1;0
0.0;126;0.0634920634920634;0;0
0.0;24;0.0;1;0
2.3000000000000003;199;41.64824120603015;2;2
0.5;299;4.538461538461538;1;1
1.0;117;28.97435897435897;2;2
0.0;14;3.7142857142857135;1;1
0.0;5;12.8;2;1
0.0;12;2.25;1;1
0.0;116;0.0775862068965517;0;0
0.0;3;1.0;1;0
0.0;8;0.5;0;1
0.0;2;0.0;1;0
0.0;8;0.0;0;1
0.0999999999999996;17;0.3529411764705882;1;0
0.1000000000000005;286;0.0874125874125874;0;0
0.0;31;0.935483870967742;1;0
0.0;1;10.0;2;1
0.0;7;6.857142857142857;1;1
0.0;9;12.77777777777778;2;1
0.1000000000000005;99;1.707070707070707;1;1
1.1999999999999993;128;32.609375;2;2
0.3000000000000007;209;3.488038277511962;1;1
0.0;4;10.5;2;1
0.0;1;9.0;1;1
0.0999999999999996;10;11.8;2;1
0.5;359;4.701949860724234;1;1
0.6999999999999993;96;23.604166666666668;2;2
0.0;25;2.12;1;1
0.1000000000000014;39;13.58974358974359;2;1
0.0999999999999996;13;2.076923076923077;1;1
0.0;93;0.1290322580645161;0;0
0.0999999999999996;101;2.108910891089109;1;1
0.0;5;13.4;2;1
0.0;11;6.818181818181818;1;1
0.0;1;10.0;2;1
0.0999999999999996;17;6.588235294117647;1;1
0.0;5;10.6;2;1
0.0;13;2.230769230769231;1;1
0.0;12;0.3333333333333333;0;1
0.3000000000000007;314;2.388535031847134;1;1
0.0;16;0.3125;0;1
0.0999999999999996;66;0.8181818181818182;1;2
0.0;16;0.8125;0;1
0.0;32;1.1875;1;0
0.4000000000000003;73;17.315068493150687;2;1
0.0;21;2.523809523809524;1;1
0.0999999999999996;30;13.066666666666666;2;1
0.0999999999999996;45;1.7333333333333334;1;1
0.0;8;0.5;0;1
0.0;35;0.9428571428571428;1;0
0.0999999999999996;17;11.411764705882351;2;1
1.1000000000000014;631;4.993660855784469;1;1
0.0;5;12.2;2;1
0.0;1;8.0;1;1
0.0;4;10.75;2;1
0.0;2;8.5;1;1
0.0999999999999996;15;11.133333333333333;2;1
0.0;27;7.555555555555555;1;1
0.0;4;15.0;2;1
0.6999999999999993;439;5.42369020501139;1;1
0.0;1;11.0;2;1
0.0;1;8.0;1;1
0.0;1;10.0;2;1
0.2999999999999989;217;5.073732718894009;1;1
0.0;1;10.0;2;1
0.0999999999999996;54;5.907407407407407;1;1
0.0;1;10.0;2;1
1.0;620;4.262903225806451;1;1
0.0;1;10.0;2;1
0.1000000000000014;41;6.853658536585366;1;1
0.1999999999999993;63;11.65079365079365;2;1
0.0;18;4.944444444444445;1;1
0.3000000000000007;67;12.07462686567164;2;1
0.0;11;8.545454545454545;1;1
0.0;3;10.0;2;1
0.0999999999999978;43;8.13953488372093;1;1
0.0;4;10.0;2;1
0.1000000000000014;12;8.583333333333334;1;1
0.0;2;10.0;2;1
0.5;304;5.651315789473684;1;1
0.3999999999999986;89;14.438202247191011;2;1
0.6000000000000014;251;6.290836653386454;1;1
0.0;3;11.666666666666666;2;1
0.0;1;6.0;1;1
0.0;1;10.0;2;1
0.0;16;5.5625;1;1
0.0;1;10.0;2;1
0.0;13;6.384615384615385;1;1
0.0;1;10.0;2;1
0.1000000000000014;29;6.586206896551724;1;1
0.0;8;11.125;2;1
0.0;1;9.0;1;1
0.0;1;10.0;2;1
0.0999999999999978;20;7.4;1;1
0.0;6;10.0;2;1
0.0;15;7.133333333333334;1;1
0.0;1;10.0;2;1
0.1000000000000014;34;6.294117647058823;1;1
0.0;10;11.9;2;1
0.1999999999999993;73;6.178082191780822;1;1
0.0;1;10.0;2;1
0.0;1;7.0;1;1
0.0;1;10.0;2;1
1.0;637;4.555729984301413;1;1
0.0;17;0.4117647058823529;0;1
0.8999999999999986;670;3.491044776119403;1;1
0.0;61;0.180327868852459;0;0
0.0;9;0.2222222222222222;1;0
0.1000000000000014;220;0.1545454545454545;0;0
0.1000000000000014;35;0.5714285714285714;1;1
0.0;2;1.0;0;0
0.0;13;0.6923076923076923;1;0
0.0;82;0.1219512195121951;0;0
0.0999999999999978;184;0.9293478260869564;1;1
0.3000000000000007;79;0.1518987341772152;0;0
0.0;48;0.5625;1;1
0.3000000000000007;830;0.0734939759036144;0;0
0.0;42;0.7619047619047619;1;0
0.0;98;0.173469387755102;0;0
0.0999999999999978;35;0.6;1;1
0.0;44;0.2272727272727272;0;1
0.0;46;0.5869565217391305;1;1
0.0;10;0.4;0;1
0.1000000000000014;122;0.8770491803278688;1;1
0.0;7;13.428571428571429;2;1
0.1000000000000014;120;2.316666666666667;1;1
0.0999999999999978;6;12.333333333333334;2;1
0.0;21;4.666666666666667;1;1
0.0;14;11.857142857142858;2;1
0.1000000000000014;8;7.125;1;1
0.0;4;12.25;2;1
0.0;24;2.5416666666666665;1;1
1.3999999999999986;187;26.433155080213904;2;2
0.0;2;8.0;1;1
0.0;1;10.0;2;1
0.0;5;7.2;1;1
0.0;9;13.22222222222222;2;1
0.5;415;3.3566265060240963;1;1
0.0999999999999978;21;14.952380952380953;2;1
0.0;5;5.4;1;1
0.0;4;11.75;2;1
