Filename;TimeUTC;speed;Distance_Corrected;State01
2019_0501_145132_801A.MP4;14:51:31;6;0.0;1
2019_0501_145132_801A.MP4;14:51:32;6;0.0;1
2019_0501_145132_801A.MP4;14:51:33;7;0.0;1
2019_0501_145132_801A.MP4;14:51:34;6;0.0;1
2019_0501_145132_801A.MP4;14:51:35;6;0.0;1
2019_0501_145132_801A.MP4;14:51:36;6;0.0;1
2019_0501_145132_801A.MP4;14:51:37;6;0.0;1
2019_0501_145132_801A.MP4;14:51:38;6;0.0;1
2019_0501_145132_801A.MP4;14:51:39;7;0.0;1
2019_0501_145132_801A.MP4;14:51:40;7;0.0;1
2019_0501_145132_801A.MP4;14:51:41;6;0.0;1
2019_0501_145132_801A.MP4;14:51:42;6;0.0;1
2019_0501_145132_801A.MP4;14:51:43;6;0.0;1
2019_0501_145132_801A.MP4;14:51:44;6;0.0;1
2019_0501_145132_801A.MP4;14:51:45;6;0.0;1
2019_0501_145132_801A.MP4;14:51:46;7;0.0;1
2019_0501_145132_801A.MP4;14:51:47;6;0.0;1
2019_0501_145132_801A.MP4;14:51:48;5;0.0;1
2019_0501_145132_801A.MP4;14:51:49;5;0.0;1
2019_0501_145132_801A.MP4;14:51:50;4;0.0;1
2019_0501_145132_801A.MP4;14:51:51;3;0.0;1
2019_0501_145132_801A.MP4;14:51:52;2;0.0;1
2019_0501_145132_801A.MP4;14:51:53;2;0.0;1
2019_0501_145132_801A.MP4;14:51:54;1;0.0;1
2019_0501_145132_801A.MP4;14:51:55;1;0.0;1
2019_0501_145132_801A.MP4;14:51:56;1;0.0;1
2019_0501_145132_801A.MP4;14:51:57;0;0.0;0
2019_0501_145132_801A.MP4;14:51:58;0;0.0;0
2019_0501_145132_801A.MP4;14:51:59;0;0.0;0
2019_0501_145132_801A.MP4;14:52:00;1;0.0;1
2019_0501_145132_801A.MP4;14:52:01;2;0.0;1
2019_0501_145132_801A.MP4;14:52:02;2;0.0;1
2019_0501_145132_801A.MP4;14:52:03;1;0.0;1
2019_0501_145132_801A.MP4;14:52:04;1;0.0;1
2019_0501_145132_801A.MP4;14:52:05;1;0.1;1
2019_0501_145132_801A.MP4;14:52:06;1;0.1;1
2019_0501_145132_801A.MP4;14:52:07;1;0.1;1
2019_0501_145132_801A.MP4;14:52:08;0;0.1;0
2019_0501_145132_801A.MP4;14:52:09;0;0.1;0
2019_0501_145132_801A.MP4;14:52:10;0;0.1;0
2019_0501_145132_801A.MP4;14:52:11;0;0.1;0
2019_0501_145132_801A.MP4;14:52:12;0;0.1;0
2019_0501_145132_801A.MP4;14:52:13;0;0.1;0
2019_0501_145132_801A.MP4;14:52:14;0;0.1;0
2019_0501_145132_801A.MP4;14:52:15;0;0.1;0
2019_0501_145132_801A.MP4;14:52:16;0;0.1;0
2019_0501_145132_801A.MP4;14:52:17;0;0.1;0
2019_0501_145132_801A.MP4;14:52:18;0;0.1;0
2019_0501_145132_801A.MP4;14:52:19;0;0.1;0
2019_0501_145132_801A.MP4;14:52:20;0;0.1;0
2019_0501_145132_801A.MP4;14:52:21;0;0.1;0
2019_0501_145132_801A.MP4;14:52:22;0;0.1;0
2019_0501_145132_801A.MP4;14:52:23;0;0.1;0
2019_0501_145132_801A.MP4;14:52:24;0;0.1;0
2019_0501_145132_801A.MP4;14:52:25;0;0.1;0
2019_0501_145132_801A.MP4;14:52:26;0;0.1;0
2019_0501_145132_801A.MP4;14:52:27;0;0.1;0
2019_0501_145132_801A.MP4;14:52:28;0;0.1;0
2019_0501_145132_801A.MP4;14:52:29;0;0.1;0
2019_0501_145132_801A.MP4;14:52:30;1;0.1;1
2019_0501_145132_801A.MP4;14:52:31;2;0.1;1
2019_0501_145132_801A.MP4;14:52:32;2;0.1;1
2019_0501_145132_801A.MP4;14:52:33;2;0.1;1
2019_0501_145132_801A.MP4;14:52:34;2;0.1;1
2019_0501_145132_801A.MP4;14:52:35;2;0.1;1
2019_0501_145132_801A.MP4;14:52:36;1;0.1;1
2019_0501_145132_801A.MP4;14:52:37;2;0.1;1
2019_0501_145132_801A.MP4;14:52:38;3;0.1;1
2019_0501_145132_801A.MP4;14:52:39;2;0.1;1
2019_0501_145132_801A.MP4;14:52:40;2;0.1;1
2019_0501_145132_801A.MP4;14:52:41;3;0.1;1
2019_0501_145132_801A.MP4;14:52:42;3;0.1;1
2019_0501_145132_801A.MP4;14:52:43;2;0.1;1
2019_0501_145132_801A.MP4;14:52:44;2;0.1;1
2019_0501_145132_801A.MP4;14:52:45;2;0.1;1
2019_0501_145132_801A.MP4;14:52:46;2;0.1;1
2019_0501_145132_801A.MP4;14:52:47;2;0.1;1
2019_0501_145132_801A.MP4;14:52:48;1;0.1;1
2019_0501_145132_801A.MP4;14:52:49;2;0.1;1
2019_0501_145132_801A.MP4;14:52:50;2;0.1;1
2019_0501_145132_801A.MP4;14:52:51;2;0.1;1
2019_0501_145132_801A.MP4;14:52:52;3;0.1;1
2019_0501_145132_801A.MP4;14:52:53;3;0.1;1
2019_0501_145132_801A.MP4;14:52:54;4;0.1;1
2019_0501_145132_801A.MP4;14:52:55;3;0.1;1
2019_0501_145132_801A.MP4;14:52:56;3;0.1;1
2019_0501_145132_801A.MP4;14:52:57;4;0.1;1
2019_0501_145132_801A.MP4;14:52:58;4;0.1;1
2019_0501_145132_801A.MP4;14:52:59;3;0.1;1
2019_0501_145132_801A.MP4;14:53:00;1;0.1;1
2019_0501_145132_801A.MP4;14:53:01;1;0.1;1
2019_0501_145132_801A.MP4;14:53:02;0;0.1;0
2019_0501_145132_801A.MP4;14:53:03;0;0.1;0
2019_0501_145132_801A.MP4;14:53:04;1;0.1;1
2019_0501_145132_801A.MP4;14:53:05;0;0.1;0
2019_0501_145132_801A.MP4;14:53:06;0;0.1;0
2019_0501_145132_801A.MP4;14:53:07;0;0.1;0
2019_0501_145132_801A.MP4;14:53:08;1;0.1;1
2019_0501_145132_801A.MP4;14:53:09;1;0.1;1
2019_0501_145132_801A.MP4;14:53:10;1;0.1;1
2019_0501_145132_801A.MP4;14:53:11;1;0.1;1
2019_0501_145132_801A.MP4;14:53:12;0;0.1;0
2019_0501_145132_801A.MP4;14:53:13;0;0.1;0
2019_0501_145132_801A.MP4;14:53:14;0;0.1;0
2019_0501_145132_801A.MP4;14:53:15;0;0.1;0
2019_0501_145132_801A.MP4;14:53:16;0;0.1;0
2019_0501_145132_801A.MP4;14:53:17;0;0.1;0
2019_0501_145132_801A.MP4;14:53:18;0;0.1;0
2019_0501_145132_801A.MP4;14:53:19;0;0.1;0
2019_0501_145132_801A.MP4;14:53:20;0;0.1;0
2019_0501_145132_801A.MP4;14:53:21;0;0.1;0
2019_0501_145132_801A.MP4;14:53:22;0;0.1;0
2019_0501_145132_801A.MP4;14:53:23;0;0.1;0
2019_0501_145132_801A.MP4;14:53:24;0;0.1;0
2019_0501_145132_801A.MP4;14:53:25;0;0.1;0
2019_0501_145132_801A.MP4;14:53:26;0;0.1;0
2019_0501_145132_801A.MP4;14:53:27;0;0.1;0
2019_0501_145132_801A.MP4;14:53:28;0;0.1;0
2019_0501_145132_801A.MP4;14:53:29;0;0.1;0
2019_0501_145132_801A.MP4;14:53:30;0;0.1;0
2019_0501_145132_801A.MP4;14:53:31;0;0.1;0
2019_0501_145132_801A.MP4;14:53:32;0;0.1;0
2019_0501_145132_801A.MP4;14:53:33;0;0.1;0
2019_0501_145132_801A.MP4;14:53:34;0;0.1;0
2019_0501_145132_801A.MP4;14:53:35;0;0.1;0
2019_0501_145132_801A.MP4;14:53:36;0;0.1;0
2019_0501_145132_801A.MP4;14:53:37;0;0.1;0
2019_0501_145132_801A.MP4;14:53:38;0;0.1;0
2019_0501_145132_801A.MP4;14:53:39;0;0.1;0
2019_0501_145132_801A.MP4;14:53:40;0;0.1;0
2019_0501_145132_801A.MP4;14:53:41;1;0.1;1
2019_0501_145132_801A.MP4;14:53:42;0;0.1;0
2019_0501_145132_801A.MP4;14:53:43;0;0.1;0
2019_0501_145132_801A.MP4;14:53:44;1;0.1;1
2019_0501_145132_801A.MP4;14:53:45;1;0.1;1
2019_0501_145132_801A.MP4;14:53:46;0;0.1;0
2019_0501_145132_801A.MP4;14:53:47;0;0.1;0
2019_0501_145132_801A.MP4;14:53:48;0;0.1;0
2019_0501_145132_801A.MP4;14:53:49;0;0.1;0
2019_0501_145132_801A.MP4;14:53:50;0;0.1;0
2019_0501_145132_801A.MP4;14:53:51;0;0.1;0
2019_0501_145132_801A.MP4;14:53:52;0;0.1;0
2019_0501_145132_801A.MP4;14:53:53;0;0.1;0
2019_0501_145132_801A.MP4;14:53:54;0;0.1;0
2019_0501_145132_801A.MP4;14:53:55;0;0.1;0
2019_0501_145132_801A.MP4;14:53:56;0;0.1;0
2019_0501_145132_801A.MP4;14:53:57;0;0.1;0
2019_0501_145132_801A.MP4;14:53:58;0;0.1;0
2019_0501_145132_801A.MP4;14:53:59;0;0.1;0
2019_0501_145132_801A.MP4;14:54:00;0;0.1;0
2019_0501_145132_801A.MP4;14:54:01;0;0.1;0
2019_0501_145132_801A.MP4;14:54:02;0;0.1;0
2019_0501_145132_801A.MP4;14:54:03;0;0.1;0
2019_0501_145132_801A.MP4;14:54:04;0;0.1;0
2019_0501_145132_801A.MP4;14:54:05;0;0.1;0
2019_0501_145132_801A.MP4;14:54:06;0;0.1;0
2019_0501_145132_801A.MP4;14:54:07;0;0.1;0
2019_0501_145132_801A.MP4;14:54:08;0;0.1;0
2019_0501_145132_801A.MP4;14:54:09;0;0.1;0
2019_0501_145132_801A.MP4;14:54:10;0;0.1;0
2019_0501_145132_801A.MP4;14:54:11;0;0.1;0
2019_0501_145132_801A.MP4;14:54:12;0;0.1;0
2019_0501_145132_801A.MP4;14:54:13;0;0.1;0
2019_0501_145132_801A.MP4;14:54:14;0;0.1;0
2019_0501_145132_801A.MP4;14:54:15;0;0.1;0
2019_0501_145132_801A.MP4;14:54:16;0;0.1;0
2019_0501_145132_801A.MP4;14:54:17;1;0.1;1
2019_0501_145132_801A.MP4;14:54:18;0;0.1;0
2019_0501_145132_801A.MP4;14:54:19;0;0.1;0
2019_0501_145132_801A.MP4;14:54:20;2;0.1;1
2019_0501_145132_801A.MP4;14:54:21;3;0.1;1
2019_0501_145132_801A.MP4;14:54:22;4;0.1;1
2019_0501_145132_801A.MP4;14:54:23;5;0.1;1
2019_0501_145132_801A.MP4;14:54:24;5;0.1;1
2019_0501_145132_801A.MP4;14:54:25;6;0.1;1
2019_0501_145132_801A.MP4;14:54:26;7;0.1;1
2019_0501_145132_801A.MP4;14:54:27;7;0.1;1
2019_0501_145132_801A.MP4;14:54:28;8;0.1;1
2019_0501_145132_801A.MP4;14:54:29;8;0.1;1
2019_0501_145132_801A.MP4;14:54:30;7;0.1;1
2019_0501_145132_801A.MP4;14:54:31;7;0.1;1
2019_0501_145132_801A.MP4;14:54:32;7;0.1;1
2019_0501_145132_801A.MP4;14:54:33;7;0.1;1
2019_0501_145132_801A.MP4;14:54:34;8;0.1;1
2019_0501_145132_801A.MP4;14:54:35;7;0.1;1
2019_0501_145132_801A.MP4;14:54:36;7;0.1;1
2019_0501_145132_801A.MP4;14:54:37;6;0.1;1
